,Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
2,2024-09-01 14:17:00.153,0 days 02:09:16.234000,,368.0516666666667,0 days 00:00:00,11282,319,8,99,False,0,interpolation,0.046343634795104977,8.073687538884306e-06,OnTrack,-1374,-692,1871
3,2024-09-01 14:17:00.230,0 days 02:09:16.311000,,368.0516666666667,0 days 00:00:00.077000,11304,320,8,99,False,0,pos,6.913540434452686,0.0012044321836642926,OnTrack,-1369,-622,1872
4,2024-09-01 14:17:00.435,0 days 02:09:16.516000,,368.0516666666667,0 days 00:00:00.282000,11348,321,8,99,False,0,car,25.18833333333334,0.004388148099683812,OnTrack,-1357,-482,1872
5,2024-09-01 14:17:00.595,0 days 02:09:16.676000,81,368.0516666666667,0 days 00:00:00.442000,11390,321,8,99,False,0,car,39.45500000000001,0.006873594254205974,OnTrack,-1347,-368,1872
6,2024-09-01 14:17:00.670,0 days 02:09:16.751000,81,368.5183333333334,0 days 00:00:00.517000,11393,322,8,99,False,0,pos,46.16621904614063,0.008042779317550795,OnTrack,-1340,-284,1873
7,2024-09-01 14:17:00.835,0 days 02:09:16.916000,81,368.98500000000007,0 days 00:00:00.682000,11397,323,8,100,False,0,car,60.988333333333344,0.010624991954723068,OnTrack,-1318,-51,1873
8,2024-09-01 14:17:00.850,0 days 02:09:16.931000,81,369.4905555555556,0 days 00:00:00.697000,11442,324,8,99,False,0,pos,62.338859716140945,0.010860271903652732,OnTrack,-1317,-34,1874
9,2024-09-01 14:17:01.115,0 days 02:09:17.196000,81,369.99611111111113,0 days 00:00:00.962000,11488,325,8,99,False,0,car,86.26611111111112,0.015028722485515835,OnTrack,-1301,135,1875
10,2024-09-01 14:17:01.190,0 days 02:09:17.271000,81,370.4627777777778,0 days 00:00:01.037000,11502,325,8,99,False,0,pos,93.05082808798241,0.016210711881755505,OnTrack,-1298,181,1876
11,2024-09-01 14:17:01.395,0 days 02:09:17.476000,81,370.92944444444447,0 days 00:00:01.242000,11516,326,8,99,False,0,car,111.62166666666667,0.019446002956403353,OnTrack,-1282,362,1876
12,2024-09-01 14:17:01.410,0 days 02:09:17.491000,81,371.26277777777784,0 days 00:00:01.257000,11528,326,8,99,False,0,pos,112.98238833628803,0.019683059062090415,OnTrack,-1281,380,1877
13,2024-09-01 14:17:01.595,0 days 02:09:17.676000,81,371.59611111111116,0 days 00:00:01.442000,11541,327,8,99,False,0,car,129.78833333333333,0.022610881821390684,OnTrack,-1258,631,1878
14,2024-09-01 14:17:01.690,0 days 02:09:17.771000,81,371.8738888888889,0 days 00:00:01.537000,11558,327,8,99,False,0,pos,138.437558958868,0.024117693824001408,OnTrack,-1249,742,1879
15,2024-09-01 14:17:01.795,0 days 02:09:17.876000,81,372.1516666666667,0 days 00:00:01.642000,11575,328,8,99,False,0,car,148.01055555555556,0.02578543921501712,OnTrack,-1241,823,1879
16,2024-09-01 14:17:02.030,0 days 02:09:18.111000,81,372.5516666666666,0 days 00:00:01.877000,11586,328,8,99,False,0,pos,169.4768069200511,0.029525150329916053,OnTrack,-1232,942,1880
